Index,Fear_Greed_Index,Sentiment
S&P 500,68.96613849160552,Greed
Dow Jones,63.116780326160516,Greed
NASDAQ,52.382236222482256,Neutral
NYSE Composite,68.91570875281295,Greed
Russell 2000,45.83191585911716,Neutral
CBOE Volatility Index,37.20998602571711,Fear
FTSE 100,82.40060455339272,Extreme Greed
Nikkei 225,59.90560718703735,Greed
EURO STOXX 50,83.26750939446762,Extreme Greed
Hang Seng,63.638470966234856,Greed
SPDR S&P 500 ETF,59.983319358231824,Greed
Invesco QQQ Trust,58.73689700984275,Greed
SPDR Dow Jones ETF,68.45877735730944,Greed
iShares Russell 2000 ETF,47.83330169187263,Neutral
Vanguard Total Stock Market ETF,48.58625787097572,Neutral
iShares MSCI EAFE ETF,79.83682803218962,Extreme Greed
iShares MSCI Emerging Markets ETF,82.18946108437058,Extreme Greed
Vanguard FTSE All-World ex-US ETF,85.0313824754811,Extreme Greed
Financial Sector ETF,56.79043339098645,Greed
Technology Sector ETF,43.688625686878,Fear
Energy Sector ETF,83.84653046553159,Extreme Greed
Healthcare Sector ETF,69.86045954129722,Greed
Consumer Discretionary ETF,41.942922418378835,Fear
Consumer Staples ETF,59.84130425763295,Greed
Real Estate Sector ETF,61.62376551556746,Greed
